Word 1,Word 2,Risultati
love,sex,3.713572066704308
tiger,cat,3.713572066704308
tiger,tiger,3.713572066704308
book,paper,3.0204248861443626
computer,keyboard,2.327277705584417
computer,internet,1.6341305250244718
plane,car,1.5163474893680884
train,car,1.6341305250244718
telephone,communication,1.7676619176489945
television,radio,2.6149597780361984
media,radio,3.713572066704308
drug,abuse,2.6149597780361984
bread,butter,2.6149597780361984
cucumber,potato,2.1041341542702074
doctor,nurse,2.6149597780361984
professor,doctor,1.7676619176489945
student,professor,1.6341305250244718
smart,student,1.9218125974762528
smart,stupid,3.713572066704308
company,stock,2.327277705584417
stock,market,3.0204248861443626
stock,phone,2.1041341542702074
stock,CD,3.713572066704308
stock,jaguar,1.9218125974762528
stock,egg,2.6149597780361984
fertility,egg,1.6341305250244718
stock,live,3.713572066704308
stock,life,2.1041341542702074
book,library,2.1041341542702074
bank,money,1.6341305250244718
wood,forest,3.713572066704308
money,cash,2.6149597780361984
professor,cucumber,1.148622709242771
king,cabbage,2.6149597780361984
king,queen,3.713572066704308
king,rook,2.6149597780361984
bishop,rabbi,2.1041341542702074
Jerusalem,Israel,3.713572066704308
Jerusalem,Palestinian,3.713572066704308
holy,sex,2.327277705584417
fuck,sex,3.713572066704308
Maradona,football,0
football,soccer,3.713572066704308
football,basketball,1.9218125974762528
football,tennis,1.9218125974762528
tennis,racket,1.5163474893680884
Arafat,peace,1.9218125974762528
Arafat,terror,2.1041341542702074
Arafat,Jackson,3.713572066704308
law,lawyer,1.3156767939059373
movie,star,1.7676619176489945
movie,popcorn,1.0055218656020977
movie,critic,1.3156767939059373
movie,theater,1.7676619176489945
physics,proton,1.0055218656020977
physics,chemistry,2.6149597780361984
space,chemistry,1.7676619176489945
alcohol,chemistry,1.9218125974762528
vodka,gin,2.6149597780361984
vodka,brandy,2.6149597780361984
drink,car,1.410986973710262
drink,ear,1.5163474893680884
drink,mouth,2.6149597780361984
drink,eat,2.6149597780361984
baby,mother,2.1041341542702074
